journal,authors,buzz_id,date,name,doi,pii
Journal of Hydrology X,"['Jenniver Sehring', 'Rozemarijn ter Horst', 'Alexandra Said']",0.0,2023-03-24,"Water diplomacy: A man’s world? Insights from the Nile, Rhine and Chu-Talas basins",10.1016/j.hydroa.2023.100152,S2589915523000056
Journal of Hydrology X,"['Omar Cenobio-Cruz', 'Pere Quintana-Seguí', 'Santiago Beguería']",0.0,2022-12-15,Improvement of low flows simulation in the SASER hydrological modeling chain,10.1016/j.hydroa.2022.100147,S2589915522000293
Journal of Hydrology X,"['Mayu Fujino', 'Koichi Sakakibara', 'Keisuke Suzuki']",0.0,2022-12-13,Influence of alpine vegetation on water storage and discharge functions in an alpine headwater of Northern Japan Alps,10.1016/j.hydroa.2022.100146,S2589915522000281
Journal of Hydrology X,"['Kai Tsuruta', 'Markus A. Schnorbus']",0.0,2022-12-01,"Assessing the influence of calibration methodology and model structure on glacio-hydrological simulations in the Cheakamus River Basin, British Columbia, Canada",10.1016/j.hydroa.2022.100144,S2589915522000268
Journal of Hydrology X,"['Olga Yu. Lavrova', 'Anna I. Ginzburg', 'Tatiana Yu. Bocharova']",0.0,2022-11-24,Interannual variability of ice cover in the Caspian Sea,10.1016/j.hydroa.2022.100145,S258991552200027X
Journal of Hydrology X,"['Brigitta Czauner', 'Anita Erőss', 'Judit Mádl-Szőnyi']",0.0,2022-11-23,"From basin-scale groundwater flow to integrated geofluid research in the hydrogeology research group of Eötvös Loránd University, Hungary",10.1016/j.hydroa.2022.100142,S2589915522000244
Journal of Hydrology X,"['Sarah H. Ledford', 'Martin Briggs', 'Margaret A. Zimmer']",0.0,2022-11-12,Connecting diverse disciplines to improve understanding of surface water-groundwater interactions,10.1016/j.hydroa.2022.100141,S2589915522000232
Journal of Hydrology X,"['Jannis Epting', 'Love Råman Vinnå', 'Stefan Scheidler']",0.0,2022-11-07,Impacts of climate change on Swiss alluvial aquifers – A quantitative forecast focused on natural and artificial groundwater recharge by surface water infiltration,10.1016/j.hydroa.2022.100140,S2589915522000220
Journal of Hydrology X,"['Junyu Qi', 'Sheng Li', 'Fan-Rui Meng']",0.0,2022-10-29,Impacts of sampling frequency on the estimation accuracy of exceedance for suspended solids and nitrates in streams in small to medium-sized watersheds,10.1016/j.hydroa.2022.100139,S2589915522000219
Journal of Hydrology X,"['Roy Sando', 'Kristin L. Jaeger', 'Alden Shallcross']",0.0,2022-10-20,Predictions and drivers of sub-reach-scale annual streamflow permanence for the upper Missouri River basin: 1989–2018,10.1016/j.hydroa.2022.100138,S2589915522000207
Journal of Hydrology X,"['Jared E. Siegel', 'Aimee H. Fullerton', 'Chris E. Jordan']",0.0,2022-09-12,Accounting for snowpack and time-varying lags in statistical models of stream temperature,10.1016/j.hydroa.2022.100136,S2589915522000189
Journal of Hydrology X,"['Admin Husic', 'Nabil Al-Aamery', 'James F. Fox']",0.0,2022-09-06,"Simulating hydrologic pathway contributions in fluvial and karst settings: An evaluation of conceptual, physically-based, and deep learning modeling approaches",10.1016/j.hydroa.2022.100134,S2589915522000165
Journal of Hydrology X,"['Francesco Marra', 'Vincenzo Levizzani', 'Elsa Cattani']",0.0,2022-07-19,Changes in extreme daily precipitation over Africa: Insights from a non-asymptotic statistical approach,10.1016/j.hydroa.2022.100130,S2589915522000128
Journal of Hydrology X,"['Xuefeng Xu', 'Xuliang Li', 'Jie Tian']",0.0,2022-05-13,WITHDRAWN: Development of a simple Budyko-based framework for the simulation and attribution of ET variability in dry regions,10.1016/j.hydroa.2022.100128,S2589915522000104
Journal of Hydrology X,['C. V. Castro'],0.0,2022-05-10,"Optimizing nature-based solutions by combining social equity, hydro-environmental performance, and economic costs through a novel Gini coefficient",10.1016/j.hydroa.2022.100127,S2589915522000098
Journal of Hydrology X,"['Wout Hanckmann', 'Thomas Sweijen', 'Alraune Zech']",0.0,2022-04-11,Complex wave propagation from open water bodies into aquifers: A fast analytical approach,10.1016/j.hydroa.2022.100125,S2589915522000074
Journal of Hydrology X,"['Jordyn M. Wolfand', 'Kristine T. Taniguchi-Quan', 'Terri S. Hogue']",0.0,2022-03-07,Balancing water reuse and ecological support goals in an effluent dominated river,10.1016/j.hydroa.2022.100124,S2589915522000062
Journal of Hydrology X,"['Florentin Hofmeister', 'Leonardo F. Arias-Rodriguez', 'Gabriele Chiogna']",0.0,2022-02-09,Intercomparison of Sentinel-2 and modelled snow cover maps in a high-elevation Alpine catchment,10.1016/j.hydroa.2022.100123,S2589915522000050
Journal of Hydrology X,"['Ivan Vorobevskii', 'Rico Kronenberg', 'Christian Bernhofer']",0.0,2022-02-04,"Linking different drought types in a small catchment from a statistical perspective – Case study of the Wernersbach catchment, Germany",10.1016/j.hydroa.2022.100122,S2589915522000049
Journal of Hydrology X,"['Bentje Brauns', 'Somsubhra Chattopadhyay', 'Veena Srinivasan']",0.0,2022-01-29,"Assessing the role of groundwater recharge from tanks in crystalline bedrock aquifers in Karnataka, India, using hydrochemical tracers",10.1016/j.hydroa.2022.100121,S2589915522000037
Journal of Hydrology X,"['Prabin Rokaya', 'Karl-Erich Lindenschmidt', 'Martyn Clark']",0.0,2022-01-21,Modelling of ice jam floods under past and future climates: A review,10.1016/j.hydroa.2022.100120,S2589915522000025
Journal of Hydrology X,"['Mary Rose P. Gabuyo', 'Fernando P. Siringan']",0.0,2021-12-29,Utility of low-cost recreational-grade echosounders in imaging and characterizing bubbly coastal submarine groundwater discharge,10.1016/j.hydroa.2021.100118,S2589915521000468
Journal of Hydrology X,"['Jory S. Hecht', 'Nancy A. Barth', 'Angela E. Gregory']",0.0,2021-12-27,Simulation experiments comparing nonstationary design-flood adjustments based on observed annual peak flows in the conterminous United States,10.1016/j.hydroa.2021.100115,S2589915521000432
Journal of Hydrology X,"['Xindi Yu', 'Charles P. -A. Bourque']",0.0,2021-12-24,"Controls of contemporary (2001–2018) springtime waterflow dynamics in a Large, snowmelt-dominated basin in northeastern North America",10.1016/j.hydroa.2021.100117,S2589915521000456
