,journal,authors,buzz_id,date,name,doi,pii
0,Ocean Modelling,"['Giorgia Verri', 'Ivano Barletta', 'Giovanni Coppini']",0,2023-06-26,"Shelf slope, estuarine dynamics and river plumes in a z* vertical coordinate, unstructured grid model",10.1016/j.ocemod.2023.102235,S1463500323000768
1,Ocean Modelling,"['Sean C. Crosby', 'Cornelis M. Nederhoff', 'Eric E. Grossman']",0,2023-08-31,Efficient modeling of wave generation and propagation in a semi-enclosed estuary,10.1016/j.ocemod.2023.102231,S1463500323000720
2,Ocean Modelling,"['Elizabeth C. Fine', 'Julie L. McClean', 'Elizabeth C. Hunke']",0,2023-08-31,Arctic ice-ocean interactions in an 8-to-2 kilometer resolution global model,10.1016/j.ocemod.2023.102228,S1463500323000690
3,Ocean Modelling,"['Alba Ricondo', 'Laura Cagigal', 'Fernando J. Méndez']",0,2023-08-31,HyWaves: Hybrid downscaling of multimodal wave spectra to nearshore areas,10.1016/j.ocemod.2023.102210,S1463500323000513
4,Ocean Modelling,"['Igor Shevchenko', 'P. Berloff']",0,2023-08-31,A hyper-parameterization method for comprehensive ocean models: Advection of the image point,10.1016/j.ocemod.2023.102208,S1463500323000495
5,Ocean Modelling,"['X. Ruan', 'D. Couespel', 'Y. Wang']",0,2023-06-30,Combined physical and biogeochemical assessment of mesoscale eddy parameterisations in ocean models: Eddy induced advection at non-eddying resolutions,10.1016/j.ocemod.2023.102204,S1463500323000458
6,Ocean Modelling,"['Isabel A. Houghton', 'Stephen G. Penny', 'Pieter B. Smit']",0,2023-06-30,Ensemble-based data assimilation of significant wave height from Sofar Spotters and satellite altimeters with a global operational wave model,10.1016/j.ocemod.2023.102200,S1463500323000410
7,Ocean Modelling,"['S. Elnaz Naghibi', 'Sergey A. Karabasov', 'Igor Kamenkovich']",0,2023-06-30,Zonal jets in the Southern Ocean: A semi-analytical model based on scale separation,10.1016/j.ocemod.2023.102198,S1463500323000392
8,Ocean Modelling,"['S. L. Ward', 'P. E. Robins', 'S. R. Jenkins']",0,2023-06-30,The importance of resolving nearshore currents in coastal dispersal models,10.1016/j.ocemod.2023.102181,S1463500323000227
9,Ocean Modelling,"['Yang Zhang', 'Y. D. Afanasyev']",0,2023-04-30,Quasi-permanent meanders of the Kuroshio Extension: Laboratory experiments with altimetry and numerical simulations,10.1016/j.ocemod.2023.102180,S1463500323000215
10,Ocean Modelling,"['William I. Scott', 'Stephan C. Kramer', 'Matthew D. Piggott']",0,2023-04-30,Towards a fully unstructured ocean model for ice shelf cavity environments: Model development and verification using the Firedrake finite element framework,10.1016/j.ocemod.2023.102178,S1463500323000197
11,Ocean Modelling,"['Christopher Danek', 'Patrick Scholz', 'Gerrit Lohmann']",0,2023-04-30,Decadal variability of eddy temperature fluxes in the Labrador Sea,10.1016/j.ocemod.2023.102170,S1463500323000112
12,Ocean Modelling,"['Tatsuo Suzuki', 'Masuo Nakano', 'Yuki Takano']",0,2023-02-28,Mechanism of a meteorological tsunami reaching the Japanese coast caused by Lamb and Pekeris waves generated by the 2022 Tonga eruption,10.1016/j.ocemod.2022.102153,S1463500322001676
13,Ocean Modelling,"['Yong-Jin Tak', 'Hajoon Song', 'Yeonju Choi']",0,2023-02-28,Physical and biogeochemical responses in the Southern Ocean to a simple parameterization of Langmuir circulation,10.1016/j.ocemod.2022.102152,S1463500322001664
14,Ocean Modelling,"['Oladeji Q. Siyanbola', 'Maarten C. Buijsman', 'James C. McWilliams']",0,2023-02-28,Remote internal wave forcing of regional ocean simulations near the U.S. West Coast,10.1016/j.ocemod.2022.102154,S1463500322001688
15,Ocean Modelling,"['Mike Herzfeld', 'Darren Engwirda']",0,2023-02-28,A Flux-Form Semi-Lagrangian advection scheme for tracer transport on arbitrary meshes,10.1016/j.ocemod.2022.102140,S1463500322001548
16,Ocean Modelling,"['George Victor Emmanuel', 'Anna Rutgersson', 'Lichuan Wu']",0,2022-12-31,Role of source terms in parameterizing wave decay in the marginal ice zones,10.1016/j.ocemod.2022.102125,S1463500322001391
17,Ocean Modelling,"['Ting Cui', 'Guanghua He', 'Hans Bihs']",0,2022-11-30,Large eddy simulation of focused breaking waves with different wave steepness,10.1016/j.ocemod.2022.102122,S1463500322001366
18,Ocean Modelling,"['Georg Umgiesser', 'Christian Ferrarin', 'Luca Arpaia']",0,2022-11-30,Hydrodynamic modelling in marginal and coastal seas — The case of the Adriatic Sea as a permanent laboratory for numerical approach,10.1016/j.ocemod.2022.102123,S1463500322001378
19,Ocean Modelling,"['Yu-Heng Tseng', 'Shou-En Tsao', 'Jia-Ying Tsai']",0,2022-11-30,TIMCOM model datasets for the CMIP6 Ocean Model Intercomparison Project,10.1016/j.ocemod.2022.102109,S1463500322001238
20,Ocean Modelling,"['Sara O. van Vloten', 'Laura Cagigal', 'Fernando J. Méndez']",0,2022-10-31,HyTCWaves: A Hybrid model for downscaling Tropical Cyclone induced extreme Waves climate,10.1016/j.ocemod.2022.102100,S1463500322001147
21,Ocean Modelling,"['Yongjie Fang', 'Tongwen Wu', 'Min Chu']",0,2022-10-31,A modified thermodynamic sea ice model and its application,10.1016/j.ocemod.2022.102096,S1463500322001123
